All,सभी
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 \Magento\Framework\Model\AbstractModel का विस्तार नहीं करता है"
"Something went wrong while saving the file(s).","फ़ाइल सहेजते समय कुछ गड़बड़ हो गई।"
"File can not be saved to the destination folder.","फ़ाइल को गंतव्य फ़ोल्डर में सहेजा नहीं जा सकता।"
"Unknown EAV indexer type ""%1"".","अज्ञात EAV अनुक्रमणिका प्रकार ""%1""।"
"We can't rebuild the index for an undefined product.","हम किसी अपरिभाषित उत्पाद के लिए अनुक्रमणिका का पुन: निर्माण नहीं कर सकते ।"
"Bad value was supplied.","खराब मूल्य की आपूर्ति की गई थी।"
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","फ्लैट कैटलॉग मॉड्यूल में %2$d फ़िल्टर करने योग्य और / या सॉर्ट करने योग्य विशेषताओं की सीमा होती है। धीरे-धीरे उनमें %1$d होते हैं। कृपया इस मॉड्यूल का उपयोग करने के लिए फ़िल्टर करने योग्य / सॉर्ट करने योग्य विशेषताओं की संख्या कम करें"
"Unsupported product type ""%1"".","असमर्थित उत्पाद प्रकार ""%1""।"
"Please correct the category.","कृपया श्रेणी को सही करें।"
"Must be category model instance or its id.","श्रेणी मॉडल उदाहरण या इसकी आईडी होनी चाहिए।"
"The attribute model is not defined.","विशेषता मॉडल परिभाषित नहीं है।"
Category,वर्ग
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 का विस्तार नहीं करता \magento\catalog\model\layer\filter\\"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 \Magento\Catalog\Model\Layer\Filter\AbstractFilter का विस्तार नहीं करता है"
"The filter must be an object. Please set the correct filter.","फ़िल्टर एक ऑब्जेक्ट होना चाहिए। कृपया सही फ़िल्टर सेट करें।"
